Agency,Contract Number,Caption,Award Amount,Base Contract Period,Multi Year,Option Yrs.Remaining,Market Type,NFP,LSDBE,Vendor Name
District Department of Transportation,POKA-2006-C-0003-JJ,FY 06 Federal Aid Pavement Restoration,16610535.99,4/3/2006 -                    4/2/2007,Yes,Base,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,POKA-2003-C-0055-JBW,Street Light Asset Management,2955583.9,5/4/2006 -                    7/2/2006,No,Base,Letter Contract,Yes,No,Severn Construction Services formally Severn Cable LLC
District Department of Transportation,POKA-2003-C-0055-JBW,Street Light Asset Management,32955000,5/4/2006 -                    5/3/2008,No,Base,Open,Yes,No,Severn Construction Services formally Severn Cable LLC
District Department of Transportation,POKA-2002-D-0008-LS-1,"The Contractor is notified by the One Call Center (Miss Utility) to investigate, locate and mark District-owned utilities.",1168887.71,7/16/2006 -                    7/15/2007,Yes,3,Open,No,No,NetSystems Corporation
District Department of Transportation,POKA-2003-D-0042-DB,Sodium Chloride,638820,9/5/2006 -                    9/4/2007,No,3,Open,No,Local                                     Small                                     Disadvantaged                                     Enterprise Zone,Tricon of Washington DC Inc
District Department of Transportation,POKA-2005-C-0048-KH,Parking Meter Management Services,19984504.08,10/6/2006 -                    10/5/2007,Yes,Base,Open,No,No,ACS State and Local Solutions Inc
District Department of Transportation,POKA-2006-C-0095-JJ,"Reconstruction of Q Street, NW, from 14th to 11th Street",2686243.6,11/1/2006 -                    10/31/2007,No,Base,Open,No,No,Potomac Construction Company Inc
District Department of Transportation,DCKA-2007-C-0001,Preventive Maintenance of Electrical and Mechanical Systems in DC Tunnels,724000,11/16/2006 -                    3/15/2007,No,Base,Sole Source,No,No,VMS Inc
District Department of Transportation,POKA-2003-C-0076-JBW,Dead Hazardous and Diseased Tree Removal Services,467625,11/19/2006 -                    11/18/2007,No,4,Open,No,No,C & D Tree Service Inc
District Department of Transportation,POKA-2004-C-0032,Tree Planting Services,689950,11/22/2006 -                    10/6/2007,No,2,Open,No,No,Lorenz Lawn & Landscape Inc
District Department of Transportation,POKA-2006-C-0008-JJ,"Reconstruction of 4th Street, NW, Florida Avenue to W Street",4067608.8,11/29/2006 -                    11/28/2007,No,Base,Open,No,Local,Capital Paving of DC
District Department of Transportation,POKA-2005-C-0044-JJ,"Reconstruction of P Street, NW from DuPont Circle to 22nd Street",3207153.4,11/29/2006 -                    11/28/2007,No,Base,Open,No,Local,Capital Paving of DC
District Department of Transportation,POKA-2004-A-0015-DB,FY-04 Emergency Stump Removal,100000,3/11/2007 -                    3/10/2008,No,3,Open,No,Small                                     Disadvantaged                                     Enterprise Zone,Davey Tree Expert Company
District Department of Transportation,POKA-2004-C-0033-JJ,FY 04 Traffic Signal Construction (Citywide),4380510,3/14/2007 -                    3/13/2008,No,2,Open,No,No,"M.C. Dean, Inc"
District Department of Transportation,POKA-2006-C-0004-DB,Sodium Chloride and Clearlane Enhanced Deicer,1476600,3/28/2007 -                    3/27/2008,No,Base,Open,No,Small                                     Disadvantaged                                     Enterprise Zone,Tricon of Washington DC Inc
District Department of Transportation,POKA-2004-C-0020-CB,"Reconstruction of Kenilworth Avenue, NE from Foote Street to Lane Plane Bridges",32983771.92,4/2/2007 -                    4/1/2008,No,Base,Open,No,Local                                     Enterprise Zone,Fort Myer Construction Corporation
District Department of Transportation,POKA-2006-C-0099-JJ,Federal Aid Citywide Streetlight Construction,7000000,4/12/2007 -                    4/11/2008,No,Base,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,POKA-2006-C-0003-JJ,FY 06 Federal Aid Pavement Restoration,25000000,5/11/2007 -                    5/10/2008,No,1,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,POKA-2002-C-008-LS-1,FY03 Utility Marking Contract,1193024.16,7/16/2007 -                    7/15/2008,Yes,4,Open,No,Local                                     Small                                     Disadvantaged,Net Systems Corporation
District Department of Transportation,POKA-2006-C-0094-LJ,Citywide Installation of Permanent Traffic Counting Stations,1582223,8/21/2007 -                    8/19/2008,No,Base,Open,No,No,"M.C. Dean, Inc"
District Department of Transportation,POKA-2003-C-0051-JJ,FY 03 Traffic Signal Maintenance Contract,7685571.26,8/29/2007 -                    8/28/2007,No,4,Open,No,No,M C Dean Inc
District Department of Transportation,DCKA-2007-C-0081,Regional Evacuation Traffic Monitoring and Management Tools,300000,9/10/2007 -                    9/9/2008,No,Base,Open,No,No,KLD Associates Inc
District Department of Transportation,POKA-2005-C-0031-CB,"Reconstruction of Benning Road, NE,  from 14th and H Street to Oklahoma Avenue, NE",35448123.9,9/25/2007 -                    9/24/2008,No,Base,Open,No,No,Capitol Paving of DC Inc
District Department of Transportation,DCKA-2007-C-0125,Hazard Elimination and Spot Improvements at Various Locations,3206519.95,12/14/2007 -                    12/13/2008,No,Base,Open,No,No,Potomac Construction
District Department of Transportation,POKA-2006-C-0012-JJ,Rehab. of 11th Street SW Bridge over D Street Railroad and Approach Roadways,10509098.4,2/5/2008 -                    5/7/2009,No,Base,Open,No,No,Flippo Construction Company Inc
District Department of Transportation,POKA-2006-C-0012-JJ,Rehab. Of 11th Street SW Bridge over D Street Railroad and Approach Roadways,10509098.4,2/5/2008 -                    5/7/2009,No,Base,Open,No,No,Flippo Construction Company Inc
District Department of Transportation,DCKA-2007-C-0083,Construction Management Services for the Reconstruction of Benning Road NE from 14th and H Street to Oklahoma Avenue,4000000,2/12/2008 -                    2/11/2010,No,Base,Open,No,No,MACTEC Engineering and Consulting Inc
District Department of Transportation,DCKA-2007-D-0159-A-02,Emergency Tree & Debris  Removal,26730,2/21/2008 -                    2/20/2009,No,Base,Open,No,No,Excel Tree Expert Company  Inc
District Department of Transportation,DCKA-2007-D-0159-A-03,Emergency Tree & Debris  Removal,11775,2/21/2008 -                    2/20/2009,No,Base,Open,No,No,Heavy Equipment Training Academy LLC
District Department of Transportation,DCKA-2007-D-0159-A-01,Emergency Tree & Debris Removal,25600,3/3/2008 -                    3/2/2009,No,Base,Open,No,No,Adirondack Tree Experts
District Department of Transportation,DCKA-2007-D-0159-A-04,Emergency Tree & Debris Removal,19120,3/3/2008 -                    3/2/2009,No,Base,Open,No,No,Community Bridge Inc
District Department of Transportation,DCKA-2007-C-0131,Construction of Bicycle Transit Center at Union Station,3992052.24,3/13/2008 -                    12/14/2008,No,Base,Open,No,No,Grunley Walsh US LLC
District Department of Transportation,POKA-2004-C-0033-JJ,FY 04 Traffic Signal Construction (Citywide),4492715,3/14/2008 -                    3/13/2009,No,3,Open,No,No,M C Dean  Inc
District Department of Transportation,DCKA-2007-C-0082,Federal Aid Pavement Restoration (NHS Routes),5000000,4/7/2008 -                    4/6/2010,No,Base,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2007-C-0133,"Traffic Safety Improvements at the Intersection of Georgia Avenue NW and New Hampshire Avenue, NW.",999976,4/10/2008 -                    8/9/2008,No,Base,Open,No,Resident,Metro Paving Corporation
District Department of Transportation,POKA-2006-C-0099-JJ,Federal Aid Citywide Streetlight Construction,7000000,4/12/2008 -                    4/11/2009,No,1,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,POKA-2003-C-0048-JJ,Citywide Pavement Restoration (Local Streets),9607558,4/15/2008 -                    4/14/2009,No,4,Open,No,No,Lane Construction Corporation
District Department of Transportation,POKA-2006-C-0003-JJ,FY 06 Federal Aid Pavement Restoration,20000000,5/11/2008 -                    5/10/2009,No,2,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,DCKT-2008-C-0101,Maintenance and Repair Services for Leaf Vacuums,333672,6/3/2008 -                    6/2/2009,No,Base,Open,No,No,VA Public Works Equipment Company
District Department of Transportation,DCKA-2007-B-0132,FY-07 Wheelchair/Bicycle Ramps,1669100,7/21/2008 -                    7/20/2009,No,Base,Open,No,Local,Prince Construction Company
District Department of Transportation,DCKA-2007-C-0095,"Rehabilitation of H Street from 3rd to 14th Street, NE",30328964.5,7/21/2008 -                    5/10/2011,No,Base,Open,No,Local,Capitol Paving of DC
District Department of Transportation,DCKA-2007-C-0115,Rehabilitation of 9th Street and Girder Repair of 10th Street Bridges,7697187.5,8/11/2008 -                    8/10/2009,No,Base,Open,No,No,Martins Construction Corporation
District Department of Transportation,POKA-2006-C-0094-LJ,Permanent Counting Stations,5439225.5,8/19/2008 -                    8/19/2009,No,1,Open,No,Disadvantaged,MC Dean
District Department of Transportation,POKA-2003-C-0055-JBW,Street Light Asset Management Services,8611557.54,9/1/2008 -                    5/5/2009,Yes,0,Open,No,No,"Severn Construction Services, Inc"
District Department of Transportation,DCKA-2007-C-0103,Columbia Heights Streetscape,15449301.15,9/9/2008 -                    3/2/2010,No,Base,Open,No,No,Civil Construction LLC
District Department of Transportation,DCKA-2007-C-0098,Rehabilitation of 11th NW Street between L and O,5825495.4,9/9/2008 -                    5/6/2009,No,Base,Open,No,No,Civil Construction LLC
District Department of Transportation,DCKA-2007-C-0121,"Resurfacing/Reconstruction/Rehabilitation of Brentwood Road, NE, 9th Street, NE, W Street, NE and Edgewood Street, NE",8217912.74,9/24/2008 -                    9/24/2010,No,Base,Open,No,Local,Ft. Myer Construction Company
District Department of Transportation,POKA-2004-C-0032-KH,Tree Planting Services,760550,10/7/2008 -                    10/6/2009,No,4,Open,No,No,Lorenz Lawn and Landscape
District Department of Transportation,DCKA-2008-C-0067,FY 08 Citywide Traffic Signal Maintenance Contract,9325949.8,10/13/2008 -                    10/12/2009,No,Base,Open,No,No,MC Dean Inc
District Department of Transportation,DCKA-2007-C-0129,Citywide Open End Consultant Bridge Design Services,951368.26,11/10/2008 -                    11/9/2010,No,Base,Open,No,No,Amman & Whitney Inc
District Department of Transportation,DCKA-2008-C-0130,Anacostia Riverwalk Trail FRP Pedestrian/Bicycle Bridges over the CSX Railroad Lines,12003897.5,1/17/2009 -                    1/16/2010,No,1,GSA,No,Local                                     Small                                     Disadvantaged,Flippo Construction Company Inc
District Department of Transportation,DCKA-2007-D-0050-A-01,Pruning Service,438125,2/11/2009 -                    2/10/2010,No,Base,Open,No,No,"Tree Services, Inc. t/a Adirondack Tree Experts"
District Department of Transportation,DCKA-2007-D-0050-A-02,Pruning Service,367500,2/11/2009 -                    2/10/2010,No,Base,Open,No,No,C&D; Tree Service Inc
District Department of Transportation,DCKA-2007-C-0164-ND,"Construction of Anacostia Initial Line Segment and the Operation and Maintenance Facility, and Reconstruction of Firth Sterling Avenue",24994526.28,2/17/2009 -                    8/11/2010,No,Base,Open,No,Local                                     Resident,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2007-D-0159-A-02,Emergency Tree & Debris  Removal,26820,2/21/2009 -                    2/20/2010,No,1,Open,No,No,Excel Tree Expert Company  Inc
District Department of Transportation,DCKA-2007-C-0122,Anacostia Riverwalk Kenilworth Trail Section (Architect-Engineer Design Services),1833747.99,3/2/2009 -                    9/1/2009,No,Base,Open,No,No,"Rummel, Klepper & Kahl, LLP"
District Department of Transportation,DCKA-2007-D-0159-A-04,Emergency Tree & Debris Removal,20076,3/3/2009 -                    3/2/2010,No,1,Open,No,No,Community Bridge Inc
District Department of Transportation,DCKA-2007-D-0159-A-01,Emergency Tree & Debris Removal,25600,3/3/2009 -                    3/2/2010,No,1,Open,No,No,Adirondack Tree Experts
District Department of Transportation,POKA-2004-C-0033-JJ,FY 04 Traffic Signal Construction (Citywide),4905225,3/14/2009 -                    3/13/2010,No,4,Open,No,No,M C Dean  Inc
District Department of Transportation,DCKA-2008-C-0022,"Rehab. of Three Bridges over C&O; Canal Thomas Jefferson, 30th and 29th Street Bridges",6263605,4/3/2009 -                    4/2/2012,No,Base,Open,No,No,Flippo Construction Company Inc
District Department of Transportation,POKA-2006-C-0099-JJ,Federal Aid Citywide Streetlight Construction,7000000,4/14/2009 -                    4/13/2010,No,2,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,POKA-2006-C-0003-JJ,FY 06 Federal Aid Pavement Restoration,20000000,5/11/2009 -                    5/10/2010,No,3,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2008-C-0071,"(DDOT/TOA), is seeking a contractor to provide (16) Closed Circuit TV Surveillance System Mounted on Portable Trailers.",953013.12,6/16/2009 -                    12/17/2009,No,Base,Open,No,No,Sur-Tec Inc
District Department of Transportation,DCKA-2009-C-0025,Pavement Restoration Citywide,13945755,7/15/2009 -                    7/14/2010,Yes,Base,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2009-C-0087,Pavement Restoration Citywide,1675351.87,7/27/2009 -                    12/11/2009,No,Base,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2009-C-0040,Pavement Restoration Citywide,5529814.11,8/10/2009 -                    8/9/2010,No,Base,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2009-C-0103,Resurfacing of 17th Street NW from Massachusetts Ave to New Hampshire (American Recovery and Reinvestment Act),4515863,9/23/2009 -                    9/22/2010,No,Base,Open,No,Local,Capitol Paving of DC
District Department of Transportation,DCKA-2009-C-0090,"Roads, & Highway Structure",25182540.26,10/5/2009 -                    10/5/2011,No,Base,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2009-C-0085,Roads and Highway Structure,297661,10/27/2009 -                    10/28/2010,No,Base,Open,No,Local,International Road Dynamics Corporation
District Department of Transportation,DCKA-2009-Q-0099-2,"Construction Management Services for the Reconstruction of Pennsylvania Avenue, SE",4932570.48,11/10/2009 -                    11/1/2011,No,Base,Open,No,No,David Volkert & Associates
District Department of Transportation,DCKA-2009-Q-0099-3,Construction Management Services for the Reconstruction of Eastern Avenue Bridge over Kenilworth Avenue NE,1723989.98,11/19/2009 -                    11/18/2010,No,Base,Open,No,No,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2009-C-0099-2,"Construction Management Services for the Reconstruction of Pennsylvania Ave., SE from 200 Feet West of 27th Street, SE to Southern Ave., SE (Stimulus Project)",4932570.48,11/19/2009 -                    11/18/2010,No,Base,Open,No,Local,David Volkert & Associates Engineering PC
District Department of Transportation,DCKA-2009-C-0183,Reconstruction of Eastern Avenue Bridge over Kenilworth Avenue NE,8667808.6,11/24/2009 -                    10/20/2010,No,Base,Open,No,No,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2008-C-0092,Reconstruction/Resurfacing of 18th Street NW from Massachusetts Avenue to Florida Avenue NW,5940481.17,12/7/2009 -                    12/6/2010,No,Base,Open,No,No,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2009-C-0100,Traffic Signal Uninterrupted Power Supply,1250808.27,12/14/2009 -                    12/31/2010,No,Base,Open,No,No,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2008-C-0094,Rehabilitation of New York Avenue Bridge (Bridge #534) over Railroad Tracks NE and Approach Roadway Work,24868845.62,12/15/2009 -                    3/10/2011,No,Base,Open,No,No,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2009-C-0193,FY-09 Citywide Safe Routes to School from Chestnut Street to 31st Street,2161473,12/22/2009 -                    12/21/2011,No,Base,Open,No,No,Anchor Construction
District Department of Transportation,DCKA-2009-Q-0099-1,Construction Management Services for the New York Avenue Bridge,6225952,1/5/2010 -                    3/23/2012,No,Base,Open,No,No,LPA Group Inc
District Department of Transportation,DCKA-2009-C-0102,ebony.elder@dc.gov,2259046.36,1/16/2010 -                    3/23/2010,No,Base,Open,No,No,Civil Construction LLC
District Department of Transportation,DCKA-2009-C-0123,Tree Removal Services,1500400,2/9/2010 -                    2/8/2011,No,Base,Open,No,Local,C&D; Tree Service Inc
District Department of Transportation,DCKA-2007-D-0050-A-02,Pruning Service,367500,2/11/2010 -                    2/10/2011,No,1,Open,No,No,C&D; Tree Service Inc
District Department of Transportation,DCKA-2008--D-0050-A-01,Pruning Service,466500,2/11/2010 -                    2/10/2011,No,1,Open,No,No,Adirondack Tree Experts
District Department of Transportation,DCKA-2007-D-0050-A-01,Pruning Service,466500,2/11/2010 -                    2/10/2011,No,Base,Open,No,No,Adirondack Tree Experts
District Department of Transportation,DCKA-2007-D-0159-A-01,Emergency Tree & Debris Removal,206375,3/3/2010 -                    3/2/2011,No,2,Open,No,No,Adirondack Tree Experts
District Department of Transportation,DCKA-2007-D-0159-A-04,Emergency Tree & Debris Removal,20776.93,3/3/2010 -                    3/2/2011,No,2,Open,No,No,Community Bridge Inc
District Department of Transportation,DCKA-2008-C-0120,"Rehabilitation of Riggs Road and South Dakota Avenue, SE Intersection",5825495.4,3/14/2010 -                    3/31/2010,No,Base,Open,No,No,Civil Construction LLC
District Department of Transportation,DCKA-2008-C-0147,FY-2008 Federal-Aid Preventive Maintenance and Emergency Repairs on Highway Structures,14999125,3/24/2010 -                    3/23/2012,No,Base,Open,No,No,Martins Construction Corporation
District Department of Transportation,DCKA-2008-C-0091,Thermoplastic Pavement Marking,796522,3/26/2010 -                    3/25/2011,No,Base,Open,No,No,DC Line Inc
District Department of Transportation,POKA-2006-C-0004-DB,Sodium Chloride and Clearlane Enhanced Deicer,1895000,3/28/2010 -                    3/27/2011,No,3,Open,No,Small                                     Disadvantaged                                     Enterprise Zone,Tricon of Washington DC Inc
District Department of Transportation,DCKA-2007-C-0082,Federal Aid Pavement Restoration (NHS Routes),5000000,4/7/2010 -                    4/6/2011,No,1,Open,No,No,Fort Myer Construction Corporation
District Department of Transportation,POKA-2006-C-0099-JJ,Federal Aid Citywide Streetlight Construction,7000000,4/14/2010 -                    4/13/2011,No,3,Open,No,No,Fort Myer Construction Corporation
District Department of Transportation,POKA-2006-C-0003-JJ,FY 06 Federal Aid Pavement Restoration,20000000,5/11/2010 -                    5/10/2011,No,4,Open,No,Local,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2011-R-0121,Operation and Maintenance of DC Streetcar System,20984555,7/6/2012 -                    1/5/2017,Yes,Base Year,Open,No,No,Ratp Dev McDonald Transit LLC
District Department of Transportation,DCKA-2013-C-0031,Asset Preservation & Maintenance of DC Tunnels-1-Month Emergency Contract,283188,3/13/2013 -                    4/12/2013,No,Base Year,Emergency,No,No,Transfield Services (formerly VMS Inc.)
District Department of Transportation,DCKA-2012-C-0099,Infrastructure Improvements for the Closing of C Street SW 2nd Street to Washington Avenue,3180610.58,4/8/2013 -                    12/5/2013,No,Base Year,Open,No,,Fort Myer Construction Corporation
District Department of Transportation,DCKA-2013-C-0022,Asset Preservation & Maintenance of DC Tunnels-3-Month Emergency Contract,999564,4/13/2013 -                    7/12/2013,No,Base Year,Emergency,No,No,Transfield Services (formerly VMS Inc.)
District Department of Transportation,DCKA-2013-C-0035,Treegator Bags,280000,6/27/2013 -                    6/26/2013,No,Base,Set Aside,No,Local                                     Small                                     Disadvantaged                                     Resident                                     Enterprise Zone,Premier Suppliers LLC
District Department of Transportation,PO466068,Emergency Tree Removal & Debris,22420,7/12/2013 -                    7/15/2013,No,,Emergency,No,,"Excel Tree Expert Co., Inc."
District Department of Transportation,DCKA-2014-C-0004,"Uninterruptable Power Supply, Phase II (FTA)",387405,3/12/2014 -                    3/11/2015,No,Base Year,Open,No,Local,Fort Myer Construction Corporation
District Wide,CW7505,Vehicle Emergency Equipment,456924.88,4/28/2010 -                    4/27/2011,No,Base Period,Open,No,,MAJOR POLICE SUPPLY/GENERAL SA
District Wide,CW3644,Fleet Maintenance - MPD,6306078,4/30/2010 -                    4/29/2011,No,Base Period,Open,No,,FIRST TRANSIT INC DBA FIRST VE
District Wide,CW3362,Business Cards City-Wide,99000,6/10/2010 -                    6/9/2011,No,Base Period,Set Aside,No,,FORMOST ADVANCED CREATIONS
District Wide,CW22276,"DCSS - Engineering and Logistic Services - Motir Services, Inc",950000,6/10/2010 -                    6/9/2011,No,Base Period,Set Aside,No,,MOTIR SERVICES INC
District Wide,CW4216,Dell -Desktop & Laptop PC (VITA),975000,6/13/2010 -                    1/31/2011,No,Base Period,Open,No,,DELL COMPUTER CORP
District Wide,CW4217,Dell -Desktop & Laptop PC (VITA),975000,6/13/2010 -                    1/31/2011,No,Base Period,Open,No,,DELL COMPUTER CORP
District Wide,CW9339,Fuel Oil,559021.5,8/24/2010 -                    8/1/2013,No,Base Period,Open,No,,TRUMAN ARNOLD COMPANIES
District Wide,CW6464,Fuel,13590000,9/2/2010 -                    8/1/2013,No,Base Period,Open,No,,"FANNON PETROLEUM SVCS., INC."
District Wide,CW9333,Fuel,645383.86,9/4/2010 -                    8/1/2013,No,Base Period,Open,No,,PETROLEUM TRADERS CORPORATION
District Wide,CW6474,Fuel - Mansfield,24600000,9/9/2010 -                    8/1/2013,No,Base Period,Open,No,,MANSFIELD OIL COMPANY
District Wide,CW7261,"Trash & Recycling Services in Groups I, II and IV",1494469.45,11/23/2010 -                    11/22/2011,No,Base Period,Open,No,,URBAN SERVICES SYSTEMS INC
District Wide,CW7020,Janitorial services for Group 2,177166.51,12/8/2010 -                    12/7/2011,No,Base Period,Open,No,,"Knight Facilities Mgmt, Inc."
District Wide,CW6503,School Bus Maintenance Service,900000,12/15/2010 -                    12/14/2011,No,Base Period,Open,No,,"K. NEAL INTERNATIONAL TRUCK, I"
District Wide,CW6596,E85 Fuel,256750,12/28/2010 -                    12/27/2011,No,Base Period,Open,No,,Petroleum Marketing Group Inc
District Wide,CW8521,Group Life Insurance and Disability Plan - Standard Insurance Company,1420709,2/28/2011 -                    2/28/2012,No,Base Period,Open,No,,STANDARD INSURANCE COMPANY
District Wide,CW9337,School Bus Maintenance and Repair Service,900000,3/8/2011 -                    3/7/2012,No,Base Period,Open,No,,R & S AUTO & TRUCK SPRING WORK
District Wide,CW9366,School Bus Maintenance PM & Repair,900000,3/31/2011 -                    3/30/2012,No,Base Period,Open,No,,R & S AUTO & TRUCK SPRING WORK
District Wide,CW11027,Police Emergency Equipment - Lighting,480068.24,4/28/2011 -                    4/27/2012,No,Base Period,Open,No,,Major Police Supply/General Sales Administration
District Wide,CW9462,School Bus Maintenace - PM & Repairs Odyssey,900000,5/30/2011 -                    5/29/2012,No,Base Period,Open,No,,"Odyssey SST Bus and Truck Repair, Inc."
District Wide,CW10069,Biodiesel Fuel,534048.75,6/26/2011 -                    10/25/2011,No,Base Period,Open,No,,"Tri-Gas & Oil Co., Inc."
District Wide,CW10681,School Bus Maintenance - Repairs,325000,8/7/2011 -                    11/6/2011,No,Base Period,Open,No,,"MIDDLETON &  MEADS COMPANY, IN"
District Wide,CW6596,E85 Fuel,256750,12/28/2011 -                    12/27/2012,No,Option 1,Open,No,,Petroleum Marketing Group Inc
District Wide,CW12984,Road Salt and Deicer,401450,1/2/2012 -                    1/1/2013,No,Base Period,Open,No,,TRICON OF WASHINGTON DC INC
District Wide,CW3350,Dell -Desktop & Laptop PC (VITA),5000000,2/1/2012 -                    1/31/2013,No,Base Period,Open,No,,Dell Computer Corp.
District Wide,CW15880,DCSS-2009-D-925-26S,900000,2/8/2012 -                    2/7/2013,No,Base Period,Set Aside,No,,MCKISSACK & MCKISSACK OF WASH
District Wide,CW13742,Charter Bus Transportation Services1,200000,2/20/2012 -                    2/19/2013,No,Base Period,Open,No,,"HAYMARKET TRANSPORTATION, INC"
District Wide,CW14208,Charter Bus Transportation Services3,200000,3/13/2012 -                    3/12/2013,No,Base Period,Open,No,,CAPITOL ENTERTAINMENT
District Wide,CW14493,DCPO-2008-E-2131 MTW Distributor  (Option Year 4),29400,3/26/2012 -                    3/25/2013,No,Base Period,Open,No,,MTW DISTRIBUTORS INC
District Wide,CW14502,Option Year 4 - DCPO-2008-E-2111 American Supply,633700,3/26/2012 -                    3/25/2013,No,Base Period,Open,No,,AMERICAN SUPPLY COMPANY
District Wide,CW14499,Option Year 4 - DCPO-2008-E-2121 Toucan Printing & Promotional,131183.68,3/26/2012 -                    3/25/2013,No,Base Period,Open,No,,TOUCAN PRINTING & PROMO PROD
District Wide,CW14474,American Supply Co E-2113 for OY4,855370,4/2/2012 -                    4/1/2013,No,Base Period,Open,No,,AMERICAN SUPPLY COMPANY
District Wide,CW3644,Fleet Maintenance - MPD,6757124,4/30/2012 -                    6/14/2013,No,Option 2,Open,No,,FIRST TRANSIT INC DBA FIRST VE
District Wide,CW17632,DCSS-2012-D-925-002-Eng.&Logistics-Sun; Development,900000,8/31/2012 -                    8/30/2013,No,Base Period,Set Aside,No,,SUN DEVELOPMENT
District Wide,CW22087,Revised DCPO-2008-E-2115 Morgans Inc,990000,9/4/2012 -                    9/3/2013,No,Base Period,Set Aside,No,,MORGANS INC
District Wide,CW22136,DCSS - Advertising and Novelties - Revolution Promotional,400000,10/4/2012 -                    10/3/2013,No,Base Period,Set Aside,No,,Revolution Promotional Marketing
District Wide,CW22812,"DCSS - Advertising and Novelties - On Sale Promos, LLC",400000,11/30/2012 -                    11/29/2013,No,Base Period,Set Aside,No,,"JOSHUA FREY, ON SALE PROMOS,"
District Wide,CW18723,"FY-13, KTO - Passenger Car Rental",200000,12/2/2012 -                    9/29/2013,No,Base Period,Open,No,,"ZIPCAR, INC."
District Wide,CW12984,Road Salt and Deicer,413925,1/3/2013 -                    1/2/2014,No,Option 1,Open,No,,TRICON OF WASHINGTON DC INC
District Wide,CW20747,Dell VITA Contract,5000000,2/2/2013 -                    2/1/2014,No,Base Period,Open,No,,Dell Computer Corp.
District Wide,CW20144,Vehicle Rental Services - Enterprise,200000,2/5/2013 -                    2/4/2014,No,Base Period,Open,No,,ENTERPRISE LEASING CMPNY OF MA
District Wide,CW22488,DCSS - Moving and Logistics Services - S&H; Trucking Company,500000,2/7/2013 -                    2/6/2014,No,Base Period,Set Aside,No,,S&H; TRUCKING COMPANY
District Wide,CW22131,DCSS - Furniture and Furniture Management - The Hamilton Group,450000,4/1/2013 -                    3/31/2014,No,Base Period,Set Aside,No,,The Hamilton Group
District Wide,CW22127,"DCSS - General Office Supplies - Laser Art, Inc",950000,4/1/2013 -                    3/31/2014,No,Base Period,Set Aside,No,,LASER ART INC
District Wide,CW22165,DCSS - General Office Supplies - The Hamilton Group,950000,4/1/2013 -                    3/31/2014,No,Base Period,Set Aside,No,,The Hamilton Group
District Wide,CW22129,"DCSS - General Office Supplies - Yakima Supplies, Inc.",950000,4/1/2013 -                    3/31/2014,No,Base Period,Set Aside,No,,YAKIMA SUPPLIES
District Wide,CW22134,"DCSS - Industrial Services - Bocalje Services, Inc",950000,4/1/2013 -                    3/31/2014,No,Base Period,Set Aside,No,,"BOCALJE SERVICES, INC."
District Wide,CW22163,"DCSS - MOBIS - Business Development Associates, LLC",950000,4/1/2013 -                    3/31/2014,No,Base Period,Set Aside,No,,Business Development Associates LLC
District Wide,CW22095,"DCSS - MOBIS - Corporate Systems Resources, Inc",950000,4/1/2013 -                    3/31/2014,No,Base Period,Set Aside,No,,CORPORATE SYSTEMS RESOURCES
District Wide,CW22123,"DCSS - MOBIS - RWD Consulting, LLC",950000,4/1/2013 -                    3/31/2014,No,Base Period,Set Aside,No,,"RWD CONSULTING, LLC"
District Wide,CW22097,"DCSS - MOBIS - VCare, LLC",950000,4/1/2013 -                    3/31/2014,No,Base Period,Set Aside,No,,"VCare, LLC"
District Wide,CW22099,DCSS - MOBIS - Wright Capital Realty Group Inc,950000,4/1/2013 -                    3/31/2014,No,Base Period,Set Aside,No,,Wright Capital Realty Group In
District Wide,CW22536,DCSS- IT Equipment Software- Metrodata Networks,950000,4/1/2013 -                    3/31/2014,No,Base Period,Set Aside,No,,"Metro Data Networks, LLC"
District Wide,CW22655,Mission Oriented Business Integrated Services,950000,4/1/2013 -                    3/31/2014,No,Base Period,DCSS,No,Local                                     Small                                     Disadvantaged                                     Resident,"Stephen & Associates, CPA.PC"
